game_name,detail_url,game_pic,game_url,game_rate,game_label,game_price
迷失岛3宇宙的尘埃,youxi1,https://wegame.gtimg.com/g.2001371-r.01f01/info/bcbd6341901e57d4b36f229493092646.jpg/320,https://www.wegame.com.cn/store/2001371,推荐率 98.7%,"解谜
",18
星际角斗场,youxi1,https://wegame.gtimg.com/g.2000596-r.7eb99/info/ef82249e7040e4e269b2b64d4255363e.jpg/320,https://www.wegame.com.cn/store/2000596,推荐率 98.6%,"角色扮演
",48
一路,youxi1,https://wegame.gtimg.com/g.2001456-r.1f1c8/info/d829fbfaa9642783ee79401c3b3904d0.jpg/320,https://www.wegame.com.cn/store/2001456,推荐率 98.4%,"休闲
解谜
",25
戴森球计划,youxi1,https://wegame.gtimg.com/g.2001516-r.732de/info/c768ed9d2d931c050519da0ae333b61b.jpg/320,https://www.wegame.com.cn/store/2001516,推荐率 97.7%,"冒险
",70
纽扣兄弟,youxi1,https://wegame.gtimg.com/g.2000780-r.f0801/info/d07310ad02afb6c4f41c626c0d0a0442.jpg/320,https://www.wegame.com.cn/store/2000780,推荐率 97.1%,"角色扮演
休闲",35
蜡烛人,youxi1,https://wegame.gtimg.com/g.2000235-r.6707d/info/543b268fb1f479df971675c8c995ffa7.jpg/320,https://www.wegame.com.cn/store/2000235,推荐率 96.8%,"冒险
解谜
角色扮演
",48
Muse Dash 喵斯快跑,youxi1,https://wegame.gtimg.com/g.2000902-r.f136e/info/da3b3de146faa4b0c184a98d7ec27dee.jpg/320,https://www.wegame.com.cn/store/2000902,推荐率 96.8%,休闲,18
英雄传说：碧之轨迹,youxi1,https://wegame.gtimg.com/g.2000120-r.20df5/info/oss_5b28a7a015ba8.jpg/320,https://www.wegame.com.cn/store/2000120,推荐率 96.6%,"角色扮演
",60
月影之塔,youxi1,https://wegame.gtimg.com/g.2001009-r.1a726/info/54accdcaeaea2399a4f4db7485fc8499.jpg/320,https://www.wegame.com.cn/store/2001009,推荐率 96.4%,休闲,48
不可思议之梦蝶,youxi1,https://wegame.gtimg.com/g.2000459-r.86eea/info/dbc8e7e332c4e9497f387bc8bff59731.jpg/320,https://www.wegame.com.cn/store/2000459,推荐率 96%,"冒险
解谜
",49
WILL：美好世界,youxi1,https://wegame.gtimg.com/g.2000115-r.86554/info/15010326588874.jpg/320,https://www.wegame.com.cn/store/2000115,推荐率 95.5%,"休闲
解谜",60
