分类,名称,价格,图片url,购买地址
实体周边,《古剑奇谭三》3D立体磁吸冰箱贴 卡通装饰品正版游戏周边,￥59,https://gd4.alicdn.com/imgextra/i1/2200657795150/O1CN01iEJlmG1nukS5wQ5jA_!!2200657795150.jpg,https://item.taobao.com/item.htm?spm=a230r.1.14.1.5bd938f98HkxgH&id=660045219181&ns=1&abbucket=12#detail
实体周边,《古剑奇谭》羊羔绒盖毯毯子空调毯 办公室午休毛毯,?89,,https://item.taobao.com/item.htm?spm=2013.1.0.0.6e5e590060Bh0d&id=660043999076&scm=1007.12144.95220.42296_0_0&pvid=0ce54274-bec2-4e69-b889-76b1b2339aa3&utparam=%7B%22x_hestia_source%22%3A%2242296%22%2C%22x_object_type%22%3A%22item%22%2C%22x_hestia_subsource%22%3A%22default%22%2C%22x_mt%22%3A0%2C%22x_src%22%3A%2242296%22%2C%22x_pos%22%3A2%2C%22wh_pid%22%3A-1%2C%22x_pvid%22%3A%220ce54274-bec2-4e69-b889-76b1b2339aa3%22%2C%22scm%22%3A%221007.12144.95220.42296_0_0%22%2C%22x_object_id%22%3A660043999076%7D
实体周边,《古剑奇谭三》毛绒零钱包-辟邪PP款,?49,https://gd2.alicdn.com/imgextra/i3/2200657795150/O1CN01mb3C3A1nukSI12J5q_!!2200657795150.jpg,https://item.taobao.com/item.htm?spm=2013.1.0.0.664b6e0fWhWIvF&id=658460636225&scm=1007.12144.95220.42296_0_0&pvid=9312d350-2f45-46bf-a4fb-9783ceb1bae2&utparam=%7B%22x_hestia_source%22%3A%2242296%22%2C%22x_object_type%22%3A%22item%22%2C%22x_hestia_subsource%22%3A%22default%22%2C%22x_mt%22%3A0%2C%22x_src%22%3A%2242296%22%2C%22x_pos%22%3A3%2C%22wh_pid%22%3A-1%2C%22x_pvid%22%3A%229312d350-2f45-46bf-a4fb-9783ceb1bae2%22%2C%22scm%22%3A%221007.12144.95220.42296_0_0%22%2C%22x_object_id%22%3A658460636225%7D
实体周边,古剑奇谭二周边 乐无异工具包款笔袋 收纳袋 ,?118,https://gd3.alicdn.com/imgextra/i3/2200657795150/O1CN01lj3CcE1nukSAUYiH3_!!2200657795150.jpg,https://item.taobao.com/item.htm?spm=2013.1.0.0.19b11950lqYJsO&id=659253918334&scm=1007.12144.95220.42296_0_0&pvid=c701faea-f36b-48a7-9cdc-6994ee0df378&utparam=%7B%22x_hestia_source%22%3A%2242296%22%2C%22x_object_type%22%3A%22item%22%2C%22x_hestia_subsource%22%3A%22default%22%2C%22x_mt%22%3A0%2C%22x_src%22%3A%2242296%22%2C%22x_pos%22%3A1%2C%22wh_pid%22%3A-1%2C%22x_pvid%22%3A%22c701faea-f36b-48a7-9cdc-6994ee0df378%22%2C%22scm%22%3A%221007.12144.95220.42296_0_0%22%2C%22x_object_id%22%3A659253918334%7D
实体周边,《古剑奇谭三》毛绒抱枕 靠枕-辟邪PP款,"?75",https://gd3.alicdn.com/imgextra/i3/2200657795150/O1CN01lfpYUC1nukSFYc3bm_!!2200657795150.jpg,https://item.taobao.com/item.htm?spm=2013.1.0.0.6fbb11e05jmJo1&id=658896097362&scm=1007.12144.95220.42296_0_0&pvid=528b3886-00ab-4b50-9cbd-0eb7ae752e7f&utparam=%7B%22x_hestia_source%22%3A%2242296%22%2C%22x_object_type%22%3A%22item%22%2C%22x_hestia_subsource%22%3A%22default%22%2C%22x_mt%22%3A0%2C%22x_src%22%3A%2242296%22%2C%22x_pos%22%3A2%2C%22wh_pid%22%3A-1%2C%22x_pvid%22%3A%22528b3886-00ab-4b50-9cbd-0eb7ae752e7f%22%2C%22scm%22%3A%221007.12144.95220.42296_0_0%22%2C%22x_object_id%22%3A658896097362%7D
实体周边,《古剑奇谭三》原声音乐集-天予风流,?149,https://gd2.alicdn.com/imgextra/i4/2206385714378/O1CN01H9Svq31iDAYP5dKDf_!!2206385714378.jpg,https://item.taobao.com/item.htm?spm=a230r.1.14.11.25dd4408FmjqIr&id=610232874390&ns=1&abbucket=12#detail
实体周边,《古剑奇谭三》官方美术设定集,?169,https://gd4.alicdn.com/imgextra/i4/2206385714378/O1CN01weQPGX1iDAfGpKVVQ_!!2206385714378.jpg,https://item.taobao.com/item.htm?spm=2013.1.0.0.23ba72d4zEDFBF&id=648666152119&scm=1007.12144.95220.42296_0_0&pvid=ffca9176-b6b8-4c84-874f-eb8ab62f4a53&utparam=%7B%22x_hestia_source%22%3A%2242296%22%2C%22x_object_type%22%3A%22item%22%2C%22x_hestia_subsource%22%3A%22default%22%2C%22x_mt%22%3A5%2C%22x_src%22%3A%2242296%22%2C%22x_pos%22%3A1%2C%22wh_pid%22%3A-1%2C%22x_pvid%22%3A%22ffca9176-b6b8-4c84-874f-eb8ab62f4a53%22%2C%22scm%22%3A%221007.12144.95220.42296_0_0%22%2C%22x_object_id%22%3A648666152119%7D
实体周边,Muse Dash喵斯缪斯快跑 游戏周边大海报挂画,?18.00,https://gd2.alicdn.com/imgextra/i2/3065237957/O1CN01spr52F28eM8zn9MDD_!!3065237957.jpg,https://item.taobao.com/item.htm?spm=a230r.1.14.19.65355bdcTivZLv&id=634941084528&ns=1&abbucket=12#detail
电子周边,戴森球计划 - 原声音轨,￥28,https://cdn.akamai.steamstatic.com/steam/apps/1523190/ss_a97eb09092915e19e82fbe3c89ec78c0a3f602e6.1920x1080.jpg?t=1635162884,https://store.steampowered.com/app/1523190/_/
电子周边,戴森球计划 - 艺术设定集,￥52,https://cdn.akamai.steamstatic.com/steam/apps/1530310/ss_fae359995438aba3d4d7355976ef65062c23cdae.1920x1080.jpg?t=1635162912,https://store.steampowered.com/app/1530310/_/
